ID,length (px),length (m),width (px),width (m),depth (px),depth (m),skeleton orientation,position (side/back),scale width,scale length text (cm)
3602,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3935,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3608,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4120,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4214,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4217,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4325,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4232,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4291,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4295,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4322,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4307,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4320,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4373,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4387,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4390,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4388,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4391,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4398,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4406,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4401,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4433,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4448,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4434,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4420,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4481,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4757,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4483,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4584,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4484,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5051,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5432,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5379,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5358,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4477,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4871,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7473,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5788,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
6094,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5790,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7423,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7833,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7520,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8171,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8821,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9566,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9730,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9956,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
10271,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5212,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1208,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7059,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8733,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
