ID,length (px),length (m),width (px),width (m),depth (px),depth (m),skeleton orientation,position (side/back),scale width,scale length text (cm)
2633,90.1,239.373007438895,55.96,148.671625929862,23.34,62.0085015940489,N/W,side ,18.82,50
2895,80.64,204.982206405694,76.47,194.382308083376,31.55,80.1982714794103,N/W,side ,19.67,50
451,31.11,9.22597864768683,23.4,6.93950177935943,10.3,3.05456702253855,,,16.86,5
774,76.21,183.993239980686,49.33,119.097054563013,13.46,32.4963785610816,S/O,side ,20.71,50
865,73.7,14.9069579288026,44.49,8.99878640776699,8.46,1.71116504854369,S/O,,24.72,5
890,62.69,165.408970976253,54.66,144.221635883905,5.93,15.646437994723,S/O,side ,18.95,50
957,77.29,207.211796246649,60.74,162.8418230563,12.71,34.0750670241287,,side ,18.65,50
967,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
965,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1045,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1070,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1071,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1084,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1109,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1113,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1115,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1123,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1150,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1494,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1515,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2277,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1653,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2283,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2327,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2582,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2667,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2741,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2600,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2605,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2699,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2606,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2583,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2898,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2891,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3602,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3935,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3608,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4120,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
