ID,length (px),length (m),width (px),width (m),depth (px),depth (m),skeleton orientation,position (side/back),scale width,scale length text (cm)
2633,340.29,230.986967146348,211.24,143.388541949498,86.46,58.6885691012761,E-W,Side,73.66,50
2895,299.77,198.549476751888,259.12,171.625380845145,115.67,76.6127963968738,E-W,Side,75.49,50
451,109.4,74.6553841954415,88.59,60.4544834174969,/,#VALUE!,/,/,73.27,50
774,283.01,190.297202797203,183.14,123.144163528779,52.93,35.5903711672942,W-E,Side,74.36,50
865,272.19,186.584864272004,165.31,113.319166438168,29.73,20.379764189745,W-E,Side,72.94,50
890,233.07,160.627153687112,200.12,137.918676774638,21.41,14.7553411440386,SW-NE,Side,72.55,50
957,293.71,196.015750133476,219,146.155899626268,49.35,32.9351308061933,W-E,Side,74.92,50
967,237.23,159.64333781965,121.9,82.0323014804845,16.05,10.8008075370121,W-E,Side,74.3,50
965,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1045,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1070,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1071,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1084,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1109,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1113,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1115,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1123,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1150,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1494,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1515,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2277,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1653,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2283,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2327,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2582,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2667,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
