ID,length (px),length (m),width (px),width (m),depth (px),depth (m),skeleton orientation,position (side/back),scale width,scale length text (cm)
2633,88.27,219.141012909633,55.85,138.654419066534,22.99,57.0754716981132,E-W,SIDE,20.14,50
2895,79.03,23.367829686576,70.57,20.866351271437,30.57,9.03903015966884,E-W,SIDE,16.91,5
451,29.18,5.86650583031765,23.71,4.76678729392843,45.3,9.10735826296743,NA,NA,24.87,5
774,76.04,191.633064516129,48.89,123.210685483871,14.34,36.1391129032258,W-E,SIDE,19.84,50
865,72.82,184.167931208902,42.9,108.497723823976,7.97,20.1568032372281,W-E,SIDE,19.77,50
890,63.87,158.094059405941,53.56,132.574257425743,5.6,13.8613861386139,W-E,SIDE,20.2,50
957,78.2,196.088264794383,59.01,147.96890672016,12.6,31.5947843530592,W-E,SIDE,19.94,50
967,62.23,155.730730730731,33.43,83.6586586586587,4.44,11.1111111111111,SW-NE,SIDE,19.98,50
965,59.26,149.344758064516,45.71,115.196572580645,15.34,38.6592741935484,NW-SE,SIDE,19.84,50
1045,63.29,157.125124131082,34.77,86.3207547169811,6.59,16.3604766633565,E-W,SIDE,20.14,50
1070,61.02,151.414392059553,42.54,105.558312655087,5.55,13.7717121588089,E-W,SIDE,20.15,50
1071,55.41,140.136570561457,32,80.9307030854831,2.27,5.74102175012645,E-W,SIDE,19.77,50
1084,59.04,148.865355521936,48.93,123.373676248109,9.54,24.054462934947,NA,NA,19.83,50
1109,56.74,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1113,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1115,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1123,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1150,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1494,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1515,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2277,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1653,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2283,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
