ID,length (px),length (m),width (px),width (m),depth (px),depth (m),skeleton orientation,position (side/back),scale width,scale length text (cm)
2633,97.27,#VALUE!,59.46,#VALUE!,20.78,#VALUE!,ew,side,"75,9",
2895,23.7,57.5522098105877,75.67,183.754249635746,69.92,169.791160757649,ew,side,20.59,50
451,22.38,55.4509415262636,29.35,72.7205153617443,10.99,27.2299306243806,/,/,20.18,50
774,45.52,107.459867799811,76.83,181.373937677054,14,33.0500472143532,ew,side,21.18,50
865,41.1,#VALUE!,70.92,#VALUE!,7.03,#VALUE!,ew,side,24.04,5 cm
890,51.46,138.333333333333,61.15,164.381720430108,4.56,12.258064516129,ew,side,18.6,50
957,59.28,128.034557235421,79.27,171.209503239741,10.64,22.9805615550756,ew,side,23.15,50
967,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
965,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1045,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1070,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1071,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1084,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1109,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1113,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1115,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1123,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1150,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1494,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1515,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2277,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1653,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2283,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2327,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2582,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2667,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2741,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2600,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2605,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2699,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2606,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2583,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2898,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2891,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3602,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3935,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
3608,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4120,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4214,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4217,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4325,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4232,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4291,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4295,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4322,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4307,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4320,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4373,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4387,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4390,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4388,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4391,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4398,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4406,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4401,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4433,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4448,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4434,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4420,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4481,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4757,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4483,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4584,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4484,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5051,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5432,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5379,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5358,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4477,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
4871,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7473,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5788,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
6094,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5790,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7423,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7833,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7520,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8171,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8821,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9566,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9730,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
9956,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
10271,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
5212,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1208,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
7059,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
8733,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
